,Unnamed: 0,market_ids,clustering_ids,firm_ids,shares,prices,sales,size,weight,engine_size,hp,mpg,vehicle_type,body_type,engine_type,drive_type,plant_country,plant_location,distw,home_mkt,market_year,ppp,ppp_lag1,rer,rer_lag1,xrx,xrx_lag1,product_year,old_model,next_model,subsidy,hpwt,ev,hybrid,brand_region,firm_region,euro_brand,us_brand,suv_d,van_d,truck_d,ln_mpg_icehyb,ln_mpg_ice,ln_mpg_ev,ln_mpg_hyb,log_size_std,log_hp_std,log_hpwt_std,log_weight_std,ln_mpg_std,ln_mpg_ev_std,ln_mpg_hyb_std,luxury_brand,demand_instruments0
359,359,2015,2015_bmw_3series,bmw,0.0037932383999999997,0.395,74680,1.013888824,3.545,2.0,2.4,2.6,Car,sedan,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.6770098730606487,0,0,EU,EU,1,0,0.0,0.0,0.0,0.9555114450274363,0.9555114450274363,0.0,0.0,-0.07145219671761854,-0.12929883870028488,0.21486470416411566,-0.49422291306763266,0.33002172729044543,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
361,361,2015,2015_bmw_4series,bmw,0.0015339047999999998,0.4625,30199,1.0068360466736,3.74,2.0,2.4,2.6,Car,coupe,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.641711229946524,0,0,EU,EU,1,0,0.0,0.0,0.0,0.9555114450274363,0.9555114450274363,0.0,0.0,-0.11774924962618653,-0.12929883870028488,0.0018331000619855777,-0.23790114973551862,0.33002172729044543,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
362,362,2015,2015_bmw_5series,bmw,0.0017658264,0.594,34765,1.1103249289391999,4.255,3.0,3.0,2.3,Car,sedan,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.7050528789659225,0,0,EU,EU,1,0,0.0,0.0,0.0,0.8329091229351039,0.8329091229351039,0.0,0.0,0.5311610475144954,0.456669656717214,0.3763346280603053,0.3796418346040604,-0.030395321571414027,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
364,364,2015,2015_bmw_6series,bmw,0.0002495976,0.866,4914,1.0965499298208001,4.365,3.0,3.15,2.3,Car,sedan,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.7216494845360825,0,0,EU,EU,1,0,0.0,0.0,0.0,0.8329091229351039,0.8329091229351039,0.0,0.0,0.44836337853631536,0.5847912130927229,0.4688983290619871,0.5018177684148788,-0.030395321571414027,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
365,365,2015,2015_bmw_7series,bmw,0.00034336319999999997,0.903,6760,1.197583256688,4.66,4.4,4.45,1.9,Car,sedan,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.9549356223175965,0,0,EU,EU,1,0,0.0,0.0,0.0,0.6418538861723947,0.6418538861723947,0.0,0.0,1.0329187194404024,1.492068510241648,1.583257364602106,0.8148623719015196,-0.5920450801441839,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
367,367,2015,2015_bmw_i3ev,bmw,7.830030721455309e-05,0.424,1389,0.76708328424,2.634,0.0,1.68,12.4,Car,hatchback,Electric,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.075,0.6378132118451025,1,0,EU,EU,1,0,0.0,0.0,0.0,0.0,0.0,2.517696472610991,0.0,-1.921572132311048,-1.065916899235698,-0.02240685644974339,-1.9160724929006325,-2.4789186687255707,4.298450392266828,-0.35387359523776113,1.0,0.768937
368,368,2015,2015_bmw_i3hybrid,bmw,0.00018833722556069941,0.4625,3613,0.76708328424,2.899,0.7,1.68,7.8,Car,hatchback,Hybrid,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.075,0.5795101759227319,0,1,EU,EU,1,0,0.0,0.0,0.0,2.0541237336955462,0.0,0.0,2.0541237336955462,-1.921572132311048,-1.065916899235698,-0.4037823957122302,-1.4571976178439192,3.5596391779855057,-0.2518696476904785,4.492006790963368,1.0,0.768937
370,370,2015,2015_bmw_m3,bmw,0.00011316734192330572,0.62,2228,1.0242207677832,3.54,3.0,4.25,1.9,Car,sedan,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,1.2005649717514124,0,0,EU,EU,1,0,0.0,0.0,0.0,0.6418538861723947,0.6418538861723947,0.0,0.0,-0.004207688900451839,1.371312936265988,2.4939207375594052,-0.5009791814654851,-0.5920450801441839,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
371,371,2015,2015_bmw_m4,bmw,0.000277584,0.642,5465,1.0127270185188,3.53,3.0,4.25,1.9,Car,coupe,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,1.2039660056657224,0,0,EU,EU,1,0,0.0,0.0,0.0,0.6418538861723947,0.6418538861723947,0.0,0.0,-0.079056521066443,1.371312936265988,2.505174975771112,-0.5145203937919032,-0.5920450801441839,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
373,373,2015,2015_bmw_x1,bmw,0.0007705848,0.33,15171,0.9866839646300001,3.726,2.0,2.4,2.6,SUV,suv,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.644122383252818,0,0,EU,EU,1,0,1.0,0.0,0.0,0.9555114450274363,0.9555114450274363,0.0,0.0,-0.25184428963713945,-0.12929883870028488,0.016753339292887342,-0.2558533312680212,0.33002172729044543,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
374,374,2015,2015_bmw_x3,bmw,0.000599868,0.405,11810,1.0520027104496001,4.15,2.0,2.4,2.4,SUV,suv,ICE,AWD,United States,South Carolina,1853.802,1,2015,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,0.0,0.5783132530120482,0,0,EU,EU,1,0,1.0,0.0,0.0,0.8754687373538999,0.8754687373538999,0.0,0.0,0.17329830906489477,-0.12929883870028488,-0.4120078374186175,0.2600364181719587,0.09471821924691602,-0.2518696476904785,-0.35387359523776113,1.0,1.0
375,375,2015,2015_bmw_x4,bmw,0.0001665615158723184,0.4635,3259,1.0520457660024,4.195,2.5,2.7,2.25,SUV,suv,ICE,AWD,United States,South Carolina,1853.802,1,2015,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,0.0,0.6436233611442193,0,0,EU,EU,1,0,1.0,0.0,0.0,0.8109302162163288,0.8109302162163288,0.0,0.0,0.17356974792659732,0.17999599766311603,0.013669974473315907,0.31166224905841305,-0.09500725192967628,-0.2518696476904785,-0.35387359523776113,1.0,1.0
376,376,2015,2015_bmw_x5,bmw,0.0020136984,0.577,39645,1.1479270098659997,5.192,3.0,3.0,2.1,SUV,suv,ICE,AWD,United States,South Carolina,1853.802,1,2015,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,0.0,0.5778120184899845,0,0,EU,EU,1,0,1.0,0.0,0.0,0.7419373447293773,0.7419373447293773,0.0,0.0,0.7520521520653795,0.456669656717214,-0.4154574580396923,1.33233401639069,-0.29782728591814916,-0.2518696476904785,-0.35387359523776113,1.0,1.0
377,377,2015,2015_bmw_x6,bmw,0.0002370520577899766,0.619,4667,1.1525999262336002,4.75,3.0,3.0,2.1,SUV,suv,ICE,AWD,United States,South Carolina,1853.802,1,2015,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,0.0,0.631578947368421,0,0,EU,EU,1,0,1.0,0.0,0.0,0.7419373447293773,0.7419373447293773,0.0,0.0,0.7789960162300338,0.456669656717214,-0.061484478693032696,0.9064301763456241,-0.29782728591814916,-0.2518696476904785,-0.35387359523776113,1.0,1.0
378,378,2015,2015_bmw_z4,bmw,5.754901788526712e-05,0.4895,1130,0.8906666096640001,3.263,2.0,2.4,2.6,Car,convertible,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0.0,0.7355194606190623,0,0,EU,EU,1,0,0.0,0.0,0.0,0.9555114450274363,0.9555114450274363,0.0,0.0,-0.9308635058281575,-0.12929883870028488,0.5446363842331455,-0.8910075070181309,0.33002172729044543,-0.2518696476904785,-0.35387359523776113,1.0,0.768937
379,379,2015,2015_buick_enclave,buick,0.0024161832,0.4445,47569,1.2156061722012,4.724,3.6,2.88,1.9,SUV,suv,ICE,FWD,United States,Michigan,1853.802,1,2015,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,0.0,0.6096528365791701,0,0,US,US,0,1,1.0,0.0,0.0,0.6418538861723947,0.6418538861723947,0.0,0.0,1.1319882955828524,0.3494722827931391,-0.20205333879664342,0.8801566884955973,-0.5920450801441839,-0.2518696476904785,-0.35387359523776113,0.0,1.0
380,380,2015,2015_buick_encore,buick,0.0028027200000000003,0.27655,55179,0.8174416143504001,3.237,1.4,1.38,2.8,SUV,suv,ICE,FWD,Korea,South Korea,10682.86,0,2015,0.758093753,0.828120233,857.3680252,871.8781061,0.000670314,0.000786558,2015,0,0,0.0,0.42632066728452267,0,0,US,US,0,1,1.0,0.0,0.0,1.0296194171811581,1.0296194171811581,0.0,0.0,-1.499858991479675,-1.5824724280584292,-1.6251080186312523,-0.929302234179233,0.547878747981016,-0.2518696476904785,-0.35387359523776113,0.0,871.8781061
381,381,2015,2015_buick_lacrosse,buick,0.0015953135999999999,0.35725,31408,0.9995409082515999,3.77,3.6,3.04,2.1,Car,sedan,ICE,FWD,United States,Kansas,1853.802,1,2015,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,0.0,0.8063660477453581,0,0,US,US,0,1,0.0,0.0,0.0,0.7419373447293773,0.7419373447293773,0.0,0.0,-0.16597972218071938,0.4914512381004214,0.9104905001348936,-0.1996574147646019,-0.29782728591814916,-0.2518696476904785,-0.35387359523776113,0.0,1.0
