,Unnamed: 0,market_ids,clustering_ids,firm_ids,shares,prices,sales,size,weight,engine_size,hp,mpg,vehicle_type,body_type,engine_type,drive_type,plant_country,plant_location,distw,home_mkt,market_year,ppp,ppp_lag1,rer,rer_lag1,xrx,xrx_lag1,product_year,old_model,next_model,subsidy,hpwt,ev,hybrid,brand_region,firm_region,euro_brand,us_brand,suv_d,van_d,truck_d,ln_mpg_icehyb,ln_mpg_ice,ln_mpg_ev,ln_mpg_hyb,log_size_std,log_hp_std,log_hpwt_std,log_weight_std,ln_mpg_std,ln_mpg_ev_std,ln_mpg_hyb_std,luxury_brand,demand_instruments0
371,371,2015,2015_bmw_m4,bmw,0.000277584,0.642,5465,1.012727019,3.53,3,4.25,1.9,Car,coupe,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,1.2039660056657224,0,0,EU,EU,1,0,0,0,0,0.6418538861723947,0.6418538861723947,0,0,-0.079056521,1.371312936265988,2.505174975771112,-0.514520394,-0.59204508,-0.251869648,-0.353873595,1,0.768937
373,373,2015,2015_bmw_x1,bmw,0.000770585,0.33,15171,0.9866839646300001,3.726,2,2.4,2.6,SUV,suv,ICE,AWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.644122383,0,0,EU,EU,1,0,1,0,0,0.9555114450274363,0.9555114450274363,0,0,-0.25184429,-0.129298839,0.016753339292887342,-0.255853331,0.33002172729044543,-0.251869648,-0.353873595,1,0.768937
374,374,2015,2015_bmw_x3,bmw,0.000599868,0.405,11810,1.0520027104496001,4.15,2,2.4,2.4,SUV,suv,ICE,AWD,United States,South Carolina,1853.802,1,2015,1,1,1,1,1,1,2015,0,0,0,0.5783132530120482,0,0,EU,EU,1,0,1,0,0,0.8754687373538999,0.8754687373538999,0,0,0.17329830906489477,-0.129298839,-0.412007837,0.2600364181719587,0.094718219,-0.251869648,-0.353873595,1,1
375,375,2015,2015_bmw_x4,bmw,0.000166562,0.4635,3259,1.052045766,4.195,2.5,2.7,2.25,SUV,suv,ICE,AWD,United States,South Carolina,1853.802,1,2015,1,1,1,1,1,1,2015,0,0,0,0.6436233611442193,0,0,EU,EU,1,0,1,0,0,0.8109302162163288,0.8109302162163288,0,0,0.17356974792659732,0.17999599766311603,0.013669974473315907,0.31166224905841305,-0.095007252,-0.251869648,-0.353873595,1,1
376,376,2015,2015_bmw_x5,bmw,0.002013698,0.577,39645,1.1479270098659997,5.192,3,3,2.1,SUV,suv,ICE,AWD,United States,South Carolina,1853.802,1,2015,1,1,1,1,1,1,2015,0,0,0,0.5778120184899845,0,0,EU,EU,1,0,1,0,0,0.7419373447293773,0.7419373447293773,0,0,0.7520521520653795,0.456669657,-0.415457458,1.332334016,-0.297827286,-0.251869648,-0.353873595,1,1
377,377,2015,2015_bmw_x6,bmw,0.000237052,0.619,4667,1.1525999262336002,4.75,3,3,2.1,SUV,suv,ICE,AWD,United States,South Carolina,1853.802,1,2015,1,1,1,1,1,1,2015,0,0,0,0.631578947,0,0,EU,EU,1,0,1,0,0,0.7419373447293773,0.7419373447293773,0,0,0.7789960162300338,0.456669657,-0.061484479,0.9064301763456241,-0.297827286,-0.251869648,-0.353873595,1,1
378,378,2015,2015_bmw_z4,bmw,5.754901788526712e-05,0.4895,1130,0.8906666096640001,3.263,2,2.4,2.6,Car,convertible,ICE,RWD,Germany,Germany,7595.452,0,2015,0.863104501,1.021533408,0.777912999,0.768937,0.95762557,1.357107934,2015,0,0,0,0.7355194606190623,0,0,EU,EU,1,0,0,0,0,0.9555114450274363,0.9555114450274363,0,0,-0.930863506,-0.129298839,0.5446363842331455,-0.891007507,0.33002172729044543,-0.251869648,-0.353873595,1,0.768937
379,379,2015,2015_buick_enclave,buick,0.002416183,0.4445,47569,1.215606172,4.724,3.6,2.88,1.9,SUV,suv,ICE,FWD,United States,Michigan,1853.802,1,2015,1,1,1,1,1,1,2015,0,0,0,0.6096528365791701,0,0,US,US,0,1,1,0,0,0.6418538861723947,0.6418538861723947,0,0,1.1319882955828524,0.3494722827931391,-0.202053339,0.8801566884955973,-0.59204508,-0.251869648,-0.353873595,0,1
380,380,2015,2015_buick_encore,buick,0.00280272,0.27655,55179,0.8174416143504001,3.237,1.4,1.38,2.8,SUV,suv,ICE,FWD,Korea,South Korea,10682.86,0,2015,0.758093753,0.828120233,857.3680252,871.8781061,0.000670314,0.000786558,2015,0,0,0,0.42632066728452267,0,0,US,US,0,1,1,0,0,1.0296194171811581,1.0296194171811581,0,0,-1.499858991,-1.582472428,-1.625108019,-0.929302234,0.547878748,-0.251869648,-0.353873595,0,871.8781061
381,381,2015,2015_buick_lacrosse,buick,0.001595314,0.35725,31408,0.9995409082515999,3.77,3.6,3.04,2.1,Car,sedan,ICE,FWD,United States,Kansas,1853.802,1,2015,1,1,1,1,1,1,2015,0,0,0,0.8063660477453581,0,0,US,US,0,1,0,0,0,0.7419373447293773,0.7419373447293773,0,0,-0.165979722,0.4914512381004214,0.9104905001348936,-0.199657415,-0.297827286,-0.251869648,-0.353873595,0,1
