year,state,income,weights
2014,WASHINGTON,160354.318886998,0.001
2014,IOWA,48043.2389150235,0.001
2014,OREGON,47142.4281853668,0.001
2014,KANSAS,52046.8421579422,0.001
2014,PENNSYLVANIA,12010.8097287559,0.001
2014,MICHIGAN,12511.2601341207,0.001
2014,MISSOURI,167150.435391853,0.001
2014,ARIZONA,187168.451606446,0.001
2014,MINNESOTA,250225.202682414,0.001
2014,PENNSYLVANIA,50065.0585526974,0.001
2014,CALIFORNIA,62556.3006706036,0.001
2014,MINNESOTA,168151.336202582,0.001
2014,TENNESSEE,11910.7196476829,0.001
2014,CALIFORNIA,18516.6649984987,0.001
2014,VIRGINIA,65058.5526974277,0.001
2014,CALIFORNIA,46341.7075367831,0.001
2014,ARIZONA,51045.9413472125,0.001
2014,DELAWARE,34130.7176458813,0.001
2014,UTAH,110099.089180262,0.001
2014,WISCONSIN,45360.8247422681,0.001
2014,GEORGIA,58052.2470223201,0.001
2014,TEXAS,75367.8310479432,0.001
2014,NEW YORK,120108.097287559,0.001
2014,KENTUCKY,10909.8188369533,0.001
2014,MISSOURI,37453.7083375038,0.001
2014,GEORGIA,49944.9504554099,0.001
2014,MICHIGAN,33530.1771594435,0.001
2014,TEXAS,204884.395956361,0.001
2014,MICHIGAN,120008.007206486,0.001
2014,TENNESSEE,74557.1013912521,0.001
2014,CALIFORNIA,50145.1306175558,0.001
2014,SOUTH CAROLINA,25973.3760384346,0.001
2014,ILLINOIS,24021.6194575118,0.001
2014,OKLAHOMA,327294.565108598,0.001
2014,CALIFORNIA,23421.078971074,0.001
2014,NORTH CAROLINA,25522.9706736063,0.001
2014,IDAHO,75067.5608047243,0.001
2014,MINNESOTA,250225.202682414,0.001
2014,IOWA,130117.105394855,0.001
2014,TEXAS,36933.2399159243,0.001
2014,INDIANA,25022.5202682414,0.001
2014,TEXAS,141727.554799319,0.001
2014,VIRGINIA,2001.80162145931,0.001
2014,TEXAS,34030.6275648083,0.001
2014,ALABAMA,40236.2125913322,0.001
2014,TEXAS,48043.2389150235,0.001
2014,CALIFORNIA,35031.528375538,0.001
2014,ILLINOIS,15043.5391852667,0.001
2014,PENNSYLVANIA,69462.5162646382,0.001
2014,OHIO,23020.7186467821,0.001
2014,CALIFORNIA,22620.3583224902,0.001
2014,ILLINOIS,98688.8199379442,0.001
2014,GEORGIA,88079.2713442098,0.001
2014,GEORGIA,10309.2783505155,0.001
2014,TEXAS,48043.2389150235,0.001
2014,MISSOURI,32028.825943349,0.001
2014,FLORIDA,30027.0243218897,0.001
2014,TEXAS,43038.7348613752,0.001
2014,NEW YORK,89080.1721549395,0.001
2014,NEW YORK,137323.591232109,0.001
2014,RHODE ISLAND,89080.1721549395,0.001
2014,KENTUCKY,28625.7631868682,0.001
2014,WEST VIRGINIA,94084.6762085877,0.001
2014,MARYLAND,60054.0486437794,0.001
2014,CONNECTICUT,115103.593233911,0.001
2014,SOUTH CAROLINA,267881.092983685,0.001
2014,TEXAS,9008.10729656691,0.001
2014,FLORIDA,154138.724852367,0.001
2014,CALIFORNIA,86878.1903713342,0.001
2014,NEW HAMPSHIRE,78770.893804424,0.001
2014,ILLINOIS,5504.95445901311,0.001
2014,CALIFORNIA,15113.6022420178,0.001
2014,ILLINOIS,12010.8097287559,0.001
2014,FLORIDA,65659.0931838655,0.001
2014,COLORADO,50245.2206986288,0.001
2014,TEXAS,99189.270343309,0.001
2014,KENTUCKY,10909.8188369533,0.001
2014,WASHINGTON,8307.47672905615,0.001
2014,OREGON,130118.106295666,0.001
2014,TENNESSEE,183064.758282454,0.001
2014,MISSISSIPPI,35531.9787809028,0.001
2014,CALIFORNIA,62556.3006706036,0.001
2014,MISSOURI,67060.354318887,0.001
2014,OHIO,19617.6558903013,0.001
2014,GEORGIA,14813.3319987989,0.001
2014,WASHINGTON,39035.1316184566,0.001
2014,ILLINOIS,64858.3725352818,0.001
2014,WASHINGTON,164888.399559604,0.001
2014,OHIO,38534.6812130918,0.001
2014,INDIANA,350315.28375538,0.001
2014,TEXAS,120108.097287559,0.001
2014,MONTANA,62556.3006706036,0.001
2014,KENTUCKY,2201.98178360524,0.001
2014,NEVADA,190171.154038635,0.001
2014,GEORGIA,44039.6356721049,0.001
2014,MISSOURI,50045.0405364828,0.001
2014,TEXAS,88079.2713442098,0.001
2014,KENTUCKY,8207.38664798319,0.001
2014,OHIO,34030.6275648083,0.001
2014,NORTH CAROLINA,261735.562005805,0.001
2014,ILLINOIS,73065.7591832649,0.001
2014,MISSOURI,76068.4616154539,0.001
2014,ARIZONA,112100.890801722,0.001
2014,CALIFORNIA,86878.1903713342,0.001
2014,TEXAS,98088.2794515064,0.001
2014,GEORGIA,45540.9868881994,0.001
2014,MISSOURI,90081.0729656691,0.001
2014,MISSOURI,35231.7085376839,0.001
2014,CALIFORNIA,40236.2125913322,0.001
2014,CALIFORNIA,152136.923230908,0.001
2014,FLORIDA,41237.1134020619,0.001
2014,MASSACHUSETTS,100800.720648584,0.001
2014,VERMONT,65659.0931838655,0.001
2014,MINNESOTA,64558.1022920629,0.001
2014,FLORIDA,75267.7409668702,0.001
2014,TEXAS,311980.782704434,0.001
2014,MINNESOTA,250225.202682414,0.001
2014,COLORADO,31027.9251326194,0.001
2014,NORTH CAROLINA,99609.6486838155,0.001
2014,WASHINGTON,164888.399559604,0.001
2014,NEW YORK,110099.089180262,0.001
2014,ILLINOIS,39335.4018616755,0.001
2014,WEST VIRGINIA,94084.6762085877,0.001
2014,MINNESOTA,459413.472124913,0.001
2014,CALIFORNIA,317285.557001301,0.001
2014,NEW MEXICO,120908.817936143,0.001
2014,KENTUCKY,70463.4170753678,0.001
2014,MAINE,3202.8825943349,0.001
2014,PENNSYLVANIA,32028.825943349,0.001
2014,OHIO,124211.79061155,0.001
2014,MINNESOTA,17215.4939445501,0.001
2014,OHIO,86668.001201081,0.001
2014,OHIO,241217.095385847,0.001
2014,MASSACHUSETTS,188169.352417175,0.001
2014,FLORIDA,110099.089180262,0.001
2014,TEXAS,45440.8968071264,0.001
2014,WISCONSIN,45360.8247422681,0.001
2014,GEORGIA,44039.6356721049,0.001
2014,ILLINOIS,43138.8249424482,0.001
2014,VIRGINIA,248623.761385247,0.001
2014,NORTH CAROLINA,65058.5526974277,0.001
2014,ILLINOIS,39335.4018616755,0.001
2014,MINNESOTA,10009.0081072966,0.001
2014,FLORIDA,44039.6356721049,0.001
2014,NEBRASKA,108097.287558803,0.001
2014,TEXAS,311980.782704434,0.001
2014,INDIANA,113802.422179962,0.001
2014,GEORGIA,8707.83705334801,0.001
2014,WISCONSIN,19217.2955660094,0.001
2014,MINNESOTA,180162.145931338,0.001
2014,IOWA,95085.5770193174,0.001
2014,IOWA,79081.1730557502,0.001
2014,MINNESOTA,80072.0648583726,0.001
2014,MASSACHUSETTS,345510.959863878,0.001
2014,GEORGIA,45540.9868881994,0.001
2014,FLORIDA,79371.4342908618,0.001
2014,INDIANA,38834.9514563107,0.001
2014,NEW YORK,89080.1721549395,0.001
2014,PENNSYLVANIA,130357.321589431,0.001
2014,ARKANSAS,56050.4454008608,0.001
2014,CALIFORNIA,90181.1630467421,0.001
2014,MARYLAND,109698.72885597,0.001
2014,FLORIDA,8007.20648583725,0.001
2014,FLORIDA,110099.089180262,0.001
2014,FLORIDA,55049.5445901311,0.001
2014,FLORIDA,19757.7820038034,0.001
2014,MICHIGAN,33530.1771594435,0.001
2014,MICHIGAN,12511.2601341207,0.001
2014,NEW YORK,181463.316985287,0.001
2014,NEW YORK,100090.081072966,0.001
2014,FLORIDA,18016.2145931338,0.001
2014,TENNESSEE,16514.8633770393,0.001
2014,COLORADO,63076.769092183,0.001
2014,ARIZONA,101090.981883695,0.001
2014,NEW MEXICO,71063.9575618056,0.001
2014,VIRGINIA,75067.5608047243,0.001
2014,COLORADO,50245.2206986288,0.001
2014,CALIFORNIA,30427.3846461816,0.001
2014,TEXAS,30037.033329997,0.001
2014,MASSACHUSETTS,239215.293764388,0.001
2014,FLORIDA,69162.2460214193,0.001
2014,VIRGINIA,76068.4616154539,0.001
2014,ILLINOIS,39335.4018616755,0.001
2014,MASSACHUSETTS,33730.3573215894,0.001
2014,ILLINOIS,124912.421179061,0.001
2014,TEXAS,12511.2601341207,0.001
2014,MISSOURI,213191.872685417,0.001
2014,NEVADA,43238.9150235212,0.001
2014,COLORADO,141127.014312882,0.001
2014,TEXAS,12511.2601341207,0.001
2014,NORTH CAROLINA,65058.5526974277,0.001
2014,FLORIDA,5204.68421579422,0.001
2014,CALIFORNIA,89480.5324792313,0.001
2014,WASHINGTON,59953.9585627064,0.001
2014,CALIFORNIA,15113.6022420178,0.001
2014,GEORGIA,42037.8340506456,0.001
2014,GEORGIA,22520.2682414173,0.001
2014,OHIO,8507.65689120208,0.001
2014,MARYLAND,34931.438294465,0.001
2014,ARIZONA,93083.7753978581,0.001
2014,TENNESSEE,385797.217495746,0.001
2014,NEW YORK,40956.8611750576,0.001
2014,MISSOURI,35231.7085376839,0.001
2014,ARIZONA,61054.9494545091,0.001
2014,CALIFORNIA,66960.264237814,0.001
2014,CONNECTICUT,13211.8907016315,0.001
2014,NEW YORK,165148.633770393,0.001
2014,GEORGIA,35531.9787809028,0.001
2014,TENNESSEE,101191.071964768,0.001
2014,CALIFORNIA,7006.3056751076,0.001
2014,TEXAS,75367.8310479432,0.001
2014,NEW YORK,43639.275347813,0.001
2014,COLORADO,67560.8047242518,0.001
2014,FLORIDA,161205.084576119,0.001
2014,SOUTH CAROLINA,46441.7976178561,0.001
2014,MARYLAND,109698.72885597,0.001
2014,CALIFORNIA,103092.783505155,0.001
2014,UTAH,106696.026423781,0.001
2014,CALIFORNIA,294264.838354519,0.001
2014,NEW YORK,11410.2692423181,0.001
2014,COLORADO,31027.9251326194,0.001
2014,CALIFORNIA,56550.8958062256,0.001
2014,MISSOURI,50045.0405364828,0.001
2014,CALIFORNIA,105194.675207687,0.001
2014,CONNECTICUT,78991.0919827845,0.001
2014,CALIFORNIA,39035.1316184566,0.001
2014,CALIFORNIA,67160.44439996,0.001
2014,WISCONSIN,19217.2955660094,0.001
2014,MASSACHUSETTS,97087.3786407767,0.001
2014,MASSACHUSETTS,19817.8360524472,0.001
2014,FLORIDA,18016.2145931338,0.001
2014,NORTH CAROLINA,25522.9706736063,0.001
2014,TEXAS,50045.0405364828,0.001
