year,division,income,weights
2014,Mountain,93584.2258,0.000428905
2014,Mountain,130117.1054,0.000428905
2014,Mountain,93083.7754,0.000428905
2014,Mountain,43238.91502,0.000428905
2014,Mountain,51045.94135,0.000428905
2014,Mountain,21619.45751,0.000428905
2014,Mountain,141127.0143,0.000428905
2014,Mountain,187168.4516,0.000428905
2014,North Central,74266.84016,0.001070886
2014,North Central,44339.90592,0.001070886
2014,North Central,12010.80973,0.001070886
2014,North Central,20018.01621,0.001070886
2014,North Central,167450.7056,0.001070886
2014,North Central,84676.20859,0.001070886
2014,North Central,127114.403,0.001070886
2014,North Central,18016.21459,0.001070886
2014,North Central,35031.52838,0.001070886
2014,North Central,21349.21429,0.001070886
2014,North Central,103292.9637,0.001070886
2014,North Central,82874.58713,0.001070886
2014,North Central,55049.54459,0.001070886
2014,North Central,30027.02432,0.001070886
2014,North Central,88079.27134,0.001070886
2014,North Central,33329.997,0.001070886
2014,North Central,33530.17716,0.001070886
2014,North Central,48043.23892,0.001070886
2014,North Central,96086.47783,0.001070886
2014,North Central,94985.48694,0.001070886
2014,North Central,34030.62756,0.001070886
2014,North Central,66059.45351,0.001070886
2014,North Central,200180.1621,0.001070886
2014,North Central,42938.64478,0.001070886
2014,North Central,140126.1135,0.001070886
2014,North Central,220198.1784,0.001070886
2014,North Central,20018.01621,0.001070886
2014,North Central,12271.04394,0.001070886
2014,North Central,35031.52838,0.001070886
2014,North Central,32329.09619,0.001070886
2014,North Central,45360.82474,0.001070886
2014,North Central,180162.1459,0.001070886
2014,North Central,213191.8727,0.001070886
2014,North Central,50045.04054,0.001070886
2014,North Central,70063.05675,0.001070886
2014,North Central,30027.02432,0.001070886
2014,North Central,20018.01621,0.001070886
2014,North Central,82874.58713,0.001070886
2014,North Central,84676.20859,0.001070886
2014,North Central,17215.49394,0.001070886
2014,North Central,52046.84216,0.001070886
2014,North Central,101591.4323,0.001070886
2014,North Central,23821.4393,0.001070886
2014,North Central,35031.52838,0.001070886
2014,North Central,106095.4859,0.001070886
2014,North Central,57852.06686,0.001070886
2014,North Central,88079.27134,0.001070886
2014,North Central,13412.07086,0.001070886
2014,North Central,18016.21459,0.001070886
2014,North Central,124211.7906,0.001070886
2014,North Central,200180.1621,0.001070886
2014,North Central,200180.1621,0.001070886
2014,North Central,44940.4464,0.001070886
2014,North Central,40036.03243,0.001070886
2014,North Central,12271.04394,0.001070886
2014,North Central,18016.21459,0.001070886
2014,North Central,50045.04054,0.001070886
2014,North Central,217195.4759,0.001070886
2014,North Central,49044.13973,0.001070886
2014,North Central,66059.45351,0.001070886
2014,North Central,130117.1054,0.001070886
2014,North Central,98688.81994,0.001070886
2014,North Central,29526.57392,0.001070886
2014,North Central,2041.837654,0.001070886
2014,North Central,66059.45351,0.001070886
2014,North Central,145130.6176,0.001070886
2014,North Central,18016.21459,0.001070886
2014,North Central,20018.01621,0.001070886
2014,North Central,64257.83205,0.001070886
2014,North Central,49044.13973,0.001070886
2014,North Central,70163.14683,0.001070886
2014,North Central,179161.2451,0.001070886
2014,North Central,64057.65189,0.001070886
2014,North Central,182213.9926,0.001070886
2014,North Central,8507.656891,0.001070886
2014,North Central,16014.41297,0.001070886
2014,North Central,147132.4192,0.001070886
2014,North Central,180162.1459,0.001070886
2014,North Central,58060.25423,0.001070886
2014,North Central,50045.04054,0.001070886
2014,North Central,9008.107297,0.001070886
2014,North Central,106095.4859,0.001070886
2014,North Central,22019.81784,0.001070886
2014,North Central,16214.59313,0.001070886
2014,North Central,42037.83405,0.001070886
2014,North Central,115604.0436,0.001070886
2014,North Central,115604.0436,0.001070886
2014,North Central,183164.8484,0.001070886
2014,North Central,22019.81784,0.001070886
2014,North Central,41537.38365,0.001070886
2014,North Central,29526.57392,0.001070886
2014,North Central,45841.25713,0.001070886
2014,North Central,84075.6681,0.001070886
2014,North Central,155840.2562,0.001070886
2014,North Central,17215.49394,0.001070886
2014,North Central,125112.6013,0.001070886
2014,North Central,20018.01621,0.001070886
2014,North Central,17215.49394,0.001070886
2014,North Central,124211.7906,0.001070886
2014,North Central,12010.80973,0.001070886
2014,North Central,76068.46162,0.001070886
2014,North Central,8507.656891,0.001070886
2014,North Central,42938.64478,0.001070886
2014,North Central,10009.00811,0.001070886
2014,North Central,42137.92413,0.001070886
2014,North Central,22420.17816,0.001070886
2014,North Central,107096.3867,0.001070886
2014,North Central,67060.35432,0.001070886
2014,North Central,200180.1621,0.001070886
2014,North Central,159243.319,0.001070886
2014,North Central,60054.04864,0.001070886
2014,North Central,72565.30878,0.001070886
2014,North Central,107596.8372,0.001070886
2014,North Central,107096.3867,0.001070886
2014,North Central,60054.04864,0.001070886
2014,North Central,200180.1621,0.001070886
2014,North Central,198178.3605,0.001070886
2014,North Central,18016.21459,0.001070886
2014,North Central,20018.01621,0.001070886
2014,North Central,21018.91703,0.001070886
2014,North Central,16614.95346,0.001070886
2014,North Central,107096.3867,0.001070886
2014,North Central,90081.07297,0.001070886
2014,North Central,64558.10229,0.001070886
2014,North Central,9008.107297,0.001070886
2014,North Central,41537.38365,0.001070886
2014,North Central,16014.41297,0.001070886
2014,North Central,18016.21459,0.001070886
2014,North Central,106095.4859,0.001070886
2014,North Central,130117.1054,0.001070886
2014,North Central,39335.40186,0.001070886
2014,North Central,55049.54459,0.001070886
2014,North Central,64057.65189,0.001070886
2014,North Central,200180.1621,0.001070886
2014,North Central,241217.0954,0.001070886
2014,North Central,55049.54459,0.001070886
2014,North Central,241217.0954,0.001070886
2014,North Central,84676.20859,0.001070886
2014,North Central,89280.35232,0.001070886
2014,North Central,220198.1784,0.001070886
2014,North Central,2041.837654,0.001070886
2014,North Central,96086.47783,0.001070886
2014,North Central,24021.61946,0.001070886
2014,North Central,29326.39375,0.001070886
2014,North Central,64257.83205,0.001070886
2014,North Central,22019.81784,0.001070886
2014,North Central,82073.86648,0.001070886
2014,North Central,217195.4759,0.001070886
2014,North Central,108097.2876,0.001070886
2014,North Central,12811.53038,0.001070886
2014,North Central,120008.0072,0.001070886
2014,North Central,30027.02432,0.001070886
2014,North Central,100090.0811,0.001070886
2014,North Central,108097.2876,0.001070886
2014,North Central,11009.90892,0.001070886
2014,North Central,107596.8372,0.001070886
2014,North Central,39335.40186,0.001070886
2014,North Central,101591.4323,0.001070886
2014,North Central,21018.91703,0.001070886
2014,North Central,21919.72775,0.001070886
2014,North Central,224301.8717,0.001070886
2014,North Central,38915.02352,0.001070886
2014,North Central,103092.7835,0.001070886
2014,North Central,12010.80973,0.001070886
2014,North Central,50045.04054,0.001070886
2014,North Central,55049.54459,0.001070886
2014,North Central,49044.13973,0.001070886
2014,North Central,44940.4464,0.001070886
2014,North Central,96086.47783,0.001070886
2014,North Central,12010.80973,0.001070886
2014,North Central,41537.38365,0.001070886
2014,North Central,96086.47783,0.001070886
2014,North Central,65759.18326,0.001070886
2014,North Central,18016.21459,0.001070886
2014,North Central,17215.49394,0.001070886
2014,North Central,10409.36843,0.001070886
2014,North Central,61255.12962,0.001070886
2014,North Central,50045.04054,0.001070886
2014,North Central,34030.62756,0.001070886
2014,North Central,198178.3605,0.001070886
2014,North Central,43138.82494,0.001070886
2014,North Central,66359.72375,0.001070886
2014,North Central,100090.0811,0.001070886
2014,North Central,17215.49394,0.001070886
2014,North Central,90581.52337,0.001070886
2014,North Central,106095.4859,0.001070886
2014,North Central,25022.52027,0.001070886
2014,North Central,12010.80973,0.001070886
2014,North Central,12511.26013,0.001070886
2014,North Central,57852.06686,0.001070886
2014,North Central,12511.26013,0.001070886
2014,North Central,76068.46162,0.001070886
2014,North Central,22019.81784,0.001070886
2014,North Central,71063.95756,0.001070886
2014,North Central,163397.0574,0.001070886
2014,North Central,30627.56481,0.001070886
2014,North Central,107096.3867,0.001070886
2014,North Central,15043.53919,0.001070886
2014,North Central,200180.1621,0.001070886
2014,North Central,108887.9992,0.001070886
2014,North East,110099.0892,0.000854514
2014,North East,43639.27535,0.000854514
2014,North East,101090.9819,0.000854514
2014,North East,9008.107297,0.000854514
2014,North East,140126.1135,0.000854514
2014,North East,3202.882594,0.000854514
2014,North East,78770.8938,0.000854514
2014,North East,12811.53038,0.000854514
2014,North East,120108.0973,0.000854514
2014,North East,71063.95756,0.000854514
2014,North East,55049.54459,0.000854514
2014,North East,14813.332,0.000854514
2014,North East,34571.114,0.000854514
2014,North East,63256.93124,0.000854514
2014,North East,133119.8078,0.000854514
2014,North East,69462.51626,0.000854514
