market_year,division,vehicle_type,P_vehicle_type_given_division
2024,Mountain,Car,0.29072441247841924
2024,Mountain,SUV,0.45556897717618094
2024,Mountain,Truck,0.2001697564374927
2024,Mountain,Van,0.053536853907907134
2024,North Central,Car,0.25528044432233143
2024,North Central,SUV,0.5127545570701522
2024,North Central,Truck,0.186215753558162
2024,North Central,Van,0.045749245049354424
2024,North East,Car,0.31237577845501524
2024,North East,SUV,0.5316574106613051
2024,North East,Truck,0.11696268600826128
2024,North East,Van,0.03900412487541839
2024,Pacific,Car,0.3768819373280837
2024,Pacific,SUV,0.4728979019470363
2024,Pacific,Truck,0.12236319508117145
2024,Pacific,Van,0.02785696564370854
2024,South Atlantic,Car,0.32633412808292617
2024,South Atlantic,SUV,0.4890609246953678
2024,South Atlantic,Truck,0.14759020466037903
2024,South Atlantic,Van,0.037014742561327016
2024,South Central,Car,0.30152950972241027
2024,South Central,SUV,0.4563065930544672
2024,South Central,Truck,0.20308248532463483
2024,South Central,Van,0.039081411898487704
