product_ids,market_ids,market_year,firm_ids,prices,subsidy,costs,markups,shares,sales,size,weight,engine_size,hp,hpwt,mpg,vehicle_type,body_type,engine_type,drive_type,ev,hybrid,distw,home_mkt,ppp,ppp_lag1,rer,rer_lag1,xrx,xrx_lag1,product_year,old_model,next_model,plant_country,plant_location,owner_ids,pricer_ids
2015_chevrolet_express,2015,2015,chevrolet,,,0.2765222460581951,0.18091751760013305,0.000824417,38954,1.2325499211168,5.873,6.0,2.85,0.485271581815086,1.2,Van,full-size,ICE,RWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Missouri,generalmotors,generalmotors
2015_chevrolet_impala,2015,2015,chevrolet,,,0.25072919705735025,0.17210104983539626,0.001275736,60279,1.1770457580024003,3.8,3.6,2.6,0.6842105263157895,2.2,Car,sedan,ICE,FWD,0,0,2079.297,0,0.975928577,1.113701013,1.248004,1.230358,0.763167896,1.008104914,2015,0,0,Canada,Canada,generalmotors,generalmotors
2015_chevrolet_impalalimited,2015,2015,chevrolet,,,0.22145180049986157,0.1900080449895333,0.000461224,21793,1.0145249350704002,3.649,3.6,3.0,0.822143052891203,2.2,Car,sedan,ICE,FWD,0,0,2079.297,0,0.975928577,1.113701013,1.248004,1.230358,0.763167896,1.008104914,2015,0,0,Canada,Canada,generalmotors,generalmotors
2015_chevrolet_malibu,2015,2015,chevrolet,,,0.1991988542890312,0.19238250845720176,0.003165604,149576,1.061229098748,3.4855,2.5,1.96,0.5623296514129967,2.9,Car,sedan,ICE,FWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Kansas,generalmotors,generalmotors
2015_chevrolet_silverado,2015,2015,chevrolet,,,0.3158405667260834,0.1945924602165411,0.01061784,501697,1.33111102592,6.236,6.0,3.6,0.5772931366260424,1.8,Truck,pickup,ICE,4X4,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Indiana,generalmotors,generalmotors
2015_chevrolet_sonic,2015,2015,chevrolet,,,0.11880850538010655,0.27797930489148254,0.001182424,55870,0.8210228641212,2.727,1.8,1.38,0.506050605060506,3.0,Car,sedan,ICE,FWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Michigan,generalmotors,generalmotors
2015_chevrolet_spark,2015,2015,chevrolet,,,0.09286796999249794,0.3385472222756557,0.000477626,22568,0.6320575984372,2.269,1.2,0.84,0.3702071397091229,3.4,Car,hatchback,ICE,FWD,0,0,10682.86,0,0.758093753,0.828120233,857.3680252,871.8781061,0.000670314,0.000786558,2015,0,0,Korea,South Korea,generalmotors,generalmotors
2015_chevrolet_sparkev,2015,2015,chevrolet,0.075,7500.0,0.20160615861861392,0.2051797413025274,9.92871572745682e-05,2440,0.65111106944,2.866,0.0,1.4,0.4884856943475226,11.9,Car,hatchback,Electric,FWD,1,0,10682.86,0,0.758093753,0.828120233,857.3680252,871.8781061,0.000670314,0.000786558,2015,0,0,Korea,South Korea,generalmotors,generalmotors
2015_chevrolet_ss,2015,2015,chevrolet,,,0.3943632574250553,0.13790959137598585,4.572345839038289e-05,2153,1.014156185094,3.975,6.2,4.15,1.0440251572327044,1.7,Car,sedan,ICE,RWD,0,0,14802.03,0,1.226425643,1.333455434,1.63248323,1.479286511,0.921369255,1.202000681,2015,0,0,Australia,Australia,generalmotors,generalmotors
2015_chevrolet_suburban,2015,2015,chevrolet,,,0.45750368210602593,0.12018522671918093,0.000879464,41555,1.2544582530480002,5.674,5.3,3.55,0.62566090941135,1.8,SUV,suv,ICE,4X2,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Texas,generalmotors,generalmotors
2015_chevrolet_tahoe,2015,2015,chevrolet,,,0.39484068606698025,0.13317083190564163,0.001630992,77065,1.14041659368,5.545,5.3,3.55,0.6402164111812444,1.8,SUV,suv,ICE,4X4,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Texas,generalmotors,generalmotors
2015_chevrolet_traverse,2015,2015,chevrolet,,,0.2830792871477875,0.16236340539195876,0.001827795,86364,1.110447845598,4.647,3.6,2.81,0.6046911986227673,1.9,SUV,suv,ICE,FWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Michigan,generalmotors,generalmotors
2015_chevrolet_trax,2015,2015,chevrolet,,,0.1730396161200266,0.21461651596493084,0.000995082,47018,0.8116166147232,2.805,1.4,1.38,0.4919786096256683,2.9,Car,wagon,ICE,FWD,0,0,10682.86,0,0.758093753,0.828120233,857.3680252,871.8781061,0.000670314,0.000786558,2015,0,0,Korea,South Korea,generalmotors,generalmotors
2015_chevrolet_volthybrid,2015,2015,chevrolet,0.075,7500.0,0.291390276055723,0.15157875657090406,0.000204718,9673,0.865333277952,3.786,1.4,1.49,0.3935552033808769,3.7,Car,hatchback,Hybrid,FWD,0,1,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Michigan,generalmotors,generalmotors
2015_chrysler_200,2015,2015,chrysler,,,0.20370413002090923,0.19068680961100815,0.003238577,153024,0.9828666037632,3.473,3.0,2.395,0.689605528361647,2.55,Car,sedan,ICE,FWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Michigan,stellantis,stellantis_a
2015_chrysler_300,2015,2015,chrysler,,,0.32600766257322816,0.14366256219272872,0.000788311,37248,1.0343749338,4.029,3.6,3.0,0.7446016381236039,2.1,Car,sedan,ICE,RWD,0,0,2079.297,0,0.975928577,1.113701013,1.248004,1.230358,0.763167896,1.008104914,2015,0,0,Canada,Canada,stellantis,stellantis_a
2015_chrysler_towncountry,2015,2015,chrysler,,,0.27990133884929935,0.16930898100816344,0.001393724,65854,1.246374920232,4.652,3.6,2.83,0.6083404987102321,2.0,Van,mini-van,ICE,FWD,0,0,2079.297,0,0.975928577,1.113701013,1.248004,1.230358,0.763167896,1.008104914,2015,0,0,Canada,Canada,stellantis,stellantis_a
2015_dodge_challenger,2015,2015,dodge,,,0.3226324278730051,0.15085556554018922,0.00120471,56923,1.0392978501516,3.834,5.7,3.75,0.9780907668231612,1.8,Car,coupe,ICE,RWD,0,0,2079.297,0,0.975928577,1.113701013,1.248004,1.230358,0.763167896,1.008104914,2015,0,0,Canada,Canada,stellantis,stellantis_a
2015_dodge_charger,2015,2015,dodge,,,0.2803370230180758,0.16553944629237755,0.001468242,69375,1.0411457667,4.264,5.7,3.7,0.8677298311444653,1.9,Car,sedan,ICE,RWD,0,0,2079.297,0,0.975928577,1.113701013,1.248004,1.230358,0.763167896,1.008104914,2015,0,0,Canada,Canada,stellantis,stellantis_a
2015_dodge_dart,2015,2015,dodge,,,0.1454720003848476,0.23435789271132848,0.001512686,71475,0.919499941152,3.297,2.0,1.6,0.4852896572641795,2.7,Car,sedan,ICE,FWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Illinois,stellantis,stellantis_a
2015_dodge_durango,2015,2015,dodge,,,0.31289686875956363,0.15192609090780965,0.001052775,49744,1.194624923544,4.913,5.7,3.6,0.7327498473437818,1.9,SUV,suv,ICE,RWD,0,0,1853.802,1,1.0,1.0,1.0,1.0,1.0,1.0,2015,0,0,United States,Michigan,stellantis,stellantis_a
2015_dodge_grandcaravan,2015,2015,dodge,,,0.19728945960821223,0.2185008532057349,0.001497554,70760,1.246374920232,4.321,3.6,2.83,0.6549409858828975,2.0,Van,mini-van,ICE,FWD,0,0,2079.297,0,0.975928577,1.113701013,1.248004,1.230358,0.763167896,1.008104914,2015,0,0,Canada,Canada,stellantis,stellantis_a
2015_dodge_journey,2015,2015,dodge,,,0.21282516246107688,0.19975498228585498,0.001800176,85059,1.1183249284272,3.907,3.6,2.83,0.7243409265421039,1.9,SUV,suv,ICE,FWD,0,0,2468.405,0,0.5253505,0.605254712,8.325894819,8.045317997,0.033148767,0.045533721,2015,0,0,Mexico,Mexico,stellantis,stellantis_a
2015_fiat_500,2015,2015,fiat,,,0.13906315129044372,0.2563467845430817,0.000485689,22949,0.712541621064,2.363,1.4,1.01,0.4274227676682183,3.0,Car,hatchback,ICE,FWD,0,0,2468.405,0,0.5253505,0.605254712,8.325894819,8.045317997,0.033148767,0.045533721,2015,0,0,Mexico,Mexico,stellantis,stellantis_b
