product_ids,market_ids,firm_ids,prices,shares,costs,markups,sales,size,weight,hp,mpg,vehicle_type,engine_type,plant_country
2015_chevrolet_sonic,2015,chevrolet,0.16455,0.001182424,0.12505725557286498,0.24000452401783662,55870,0.821022864,2.727,1.38,3,Car,ICE,United States
2015_chevrolet_spark,2015,chevrolet,0.1404,0.000477626,0.10121758159810056,0.2790770541445829,22568,0.632057598,2.269,0.84,3.4,Car,ICE,Korea
2015_chevrolet_sparkev,2015,chevrolet,0.25365,9.92871572745682e-05,0.2122162869976022,0.16334994284406776,2440,0.651111069,2.866,1.4,11.9,Car,Electric,Korea
2015_chevrolet_ss,2015,chevrolet,0.45745,4.572345839038289e-05,0.4016969151848044,0.1218779862612212,2153,1.014156185,3.975,4.15,1.7,Car,ICE,Australia
2015_chevrolet_suburban,2015,chevrolet,0.52,0.000879464,0.4663072100757898,0.10325536523886582,41555,1.2544582530480002,5.674,3.55,1.8,SUV,ICE,United States
2015_chevrolet_tahoe,2015,chevrolet,0.4555,0.001630992,0.4038406902945664,0.11341231548942622,77065,1.140416594,5.545,3.55,1.8,SUV,ICE,United States
2015_chevrolet_traverse,2015,chevrolet,0.33795,0.001827795,0.291037357,0.1388153373595738,86364,1.110447846,4.647,2.81,1.9,SUV,ICE,United States
2015_chevrolet_trax,2015,chevrolet,0.220325,0.000995082,0.17816053574741525,0.19137394418511175,47018,0.811616615,2.805,1.38,2.9,Car,ICE,Korea
2015_chevrolet_volthybrid,2015,chevrolet,0.34345,0.000204718,0.2959826060686602,0.1382075816897358,9673,0.865333278,3.786,1.49,3.7,Car,Hybrid,United States
2015_chrysler_200,2015,chrysler,0.2517,0.003238577,0.21188796291159642,0.15817257484467048,153024,0.982866604,3.473,2.395,2.55,Car,ICE,United States
2015_chrysler_300,2015,chrysler,0.3807,0.000788311,0.3359138400342114,0.11764160747514739,37248,1.0343749338000001,4.029,3,2.1,Car,ICE,Canada
2015_chrysler_towncountry,2015,chrysler,0.33695,0.001393724,0.28959421770887744,0.14054246116967675,65854,1.24637492,4.652,2.83,2,Van,ICE,Canada
2015_dodge_challenger,2015,dodge,0.37995,0.00120471,0.3310543919127074,0.1286895857015202,56923,1.03929785,3.834,3.75,1.8,Car,ICE,Canada
2015_dodge_charger,2015,dodge,0.33595,0.001468242,0.28967660788492805,0.1377389257778597,69375,1.0411457667000001,4.264,3.7,1.9,Car,ICE,Canada
2015_dodge_dart,2015,dodge,0.19,0.001512686,0.15239733974258354,0.19790873819692872,71475,0.919499941,3.297,1.6,2.7,Car,ICE,United States
