year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1
2024_subaru_brz,PC,0%,85% J,,J
2024_subaru_crosstrek,MPV,5%,85% J,,J
2024_subaru_crosstrek,MPV,45%,35% J,,US
2024_subaru_forester,MPV,0%,80% J,,J
2024_subaru_impreza,PC,5%,80% J,,J
2024_subaru_legacy,PC,50%,30% J,,US
2024_subaru_outback,MPV,50%,30% J,,US
2024_subaru_wrx,PC,0%,85% J,,J
2024_toyota_gr86,PC,0%,85% J,,J
2024_tesla_cybertruckev,Truck,65%,25% M,,US
2024_tesla_model3ev,PC,35%,20% M,40% CH,US
2024_tesla_model3ev,PC,75%,20% MX,,"Fremont, CA"
2024_tesla_model3ev,PC,40%,20% M,35% CH,US
2024_tesla_modelsev,PC,65%,15% M,,US
2024_tesla_modelxev,MPV,60%,20% M,,US
2024_tesla_modelyev,MPV,70%,20% M,,US
2024_tesla_modelyev,MPV,70%,20% M,,US
2024_tesla_modelyev,MPV,70%,20% M,,US
2024_lexus_es,PC,50%,35% J,,US
2024_lexus_eshybrid,PC,45%,40% J,,US
2024_lexus_gx,MPV,0%,100% J,,J
2024_lexus_is,PC,0%,100% J,,J
2024_lexus_lc,PC,0%,100% J,,J
2024_lexus_lc,PC,0%,100% J,,J
2024_lexus_lchybrid,PC,0%,100% J,,J
2024_lexus_ls,PC,0%,100% J,,J
2024_lexus_lshybrid,PC,0%,100% J,,J
2024_lexus_lx,MPV,0%,100% J,,J
2024_lexus_nx,MPV,40%,45% J,,J
2024_lexus_nx,MPV,40%,55% J,,J
2024_lexus_nxhybrid,MPV,0%,100% J,,J
2024_lexus_rc,PC,0%,100% J,,J
2024_lexus_rcf,PC,0%,100% J,,J
2024_lexus_rx,MPV,55%,30% J,,CN
2024_lexus_rx,MPV,0%,100% J,,J
2024_lexus_rxhybrid,MPV,40%,45% J,,CN
2024_lexus_rzev,MPV,0%,100% J,,J
2024_lexus_tx,MPV,65%,20% J,,US
2024_lexus_tx,MPV,50%,35% J,,US
2024_lexus_txhybrid,MPV,30%,60% J,,US
2024_lexus_uxhybrid,MPV,0%,100% J,,J
2024_toyota_bz4xev,MPV,0%,80% J,20% CH,J
2024_toyota_corollacross,MPV,60%,25% J,,US
2024_toyota_corollacrosshybrid,MPV,45%,40% J,,US
2024_toyota_4runner,MPV,0%,100% J,,J
2024_toyota_camry,PC,70%,10% J,,US
2024_toyota_camryhybrid,PC,50%,30% J,,US
2024_toyota_corolla,PC,0%,100% J,,J
2024_toyota_corollahybrid,PC,0%,100% J,,J
2024_toyota_corolla,PC,55%,30% J,,US
2024_toyota_crownhybrid,PC,0%,100% J,,J
2024_toyota_gr86,PC,0%,85% J,,J
2024_toyota_grcorolla,PC,0%,100% J,,J
2024_toyota_grandhighlander,MPV,60%,25% J,,US
2024_toyota_grandhighlanderhybrid,MPV,50%,35% J,,US
2024_toyota_highlander,MPV,65%,20% J,,US
2024_toyota_highlanderhybrid,MPV,55%,30% J,,US
2024_toyota_landcruiserhybrid,MPV,0%,100% J,,J
2024_toyota_miraihybrid,PC,0%,100% J,,J
2024_toyota_priushybrid,PC,0%,100% J,,J
2024_toyota_priusprimehybrid,PC,0%,95% J,5% CH,J
2024_toyota_rav4,MPV,70%,15% J,,CN
2024_toyota_rav4hybrid,MPV,45%,45% J,,CN
2024_toyota_rav4primehybrid,PC,0%,100% J,,J
2024_toyota_siennahybrid,MPV,60%,30% J,,US
2024_toyota_sequoiahybrid,MPV,50%,20% J,15% MX,US
2024_toyota_tacoma,Truck,35%,20% J,30% M,M
2024_toyota_tacomahybrid,Truck,25%,40% J,20% M,M
2024_toyota_tundra,Truck,55%,15% J,15% MX,US
2024_toyota_tundrahybrid,Truck,50%,20% J,15% MX,US
2024_toyota_venzahybrid,PC,0%,100% J,,J
2024_volkswagen_atlas,MPV,50%,32% M,,US
2024_volkswagen_atlas,MPV,49%,33% M,,US
2024_volkswagen_atlascrosssport,MPV,48%,34% M,,US
2024_volkswagen_atlascrosssport,MPV,50%,32% M,,US
2024_volkswagen_gti,PC,1%,41% G,25% H,G
