Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Coupe (S65),2022_mercedesbenz_s,PC,0%,84% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Cabriolet  (S560-4M/S63-4M),2022_mercedesbenz_s,PC,0%,79% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,S-Class Cabriolet (S65),2022_mercedesbenz_s,PC,0%,78% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,SL Roadster (SL450),2022_mercedesbenz_sl,PC,0%,81% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,SL Roadster (SL550),2022_mercedesbenz_sl,PC,0%,81% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,SL Roadster (SL63),2022_mercedesbenz_sl,PC,0%,81% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,SLC Roadster (SLC300),2022_mercedesbenz_slc,PC,0%,87% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,SLC Roadster (SLC43),2022_mercedesbenz_slc,PC,0%,87% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,CLA Coupe (CLA250/CLA250-4M),2022_mercedesbenz_cla,PC,0%,61% G,15% H,H,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,CLA Coupe (CLA45 AMG),2022_mercedesbenz_cla,PC,0%,61% G,15% H,H,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,CLA Coupe (CLA35 AMG),2022_mercedesbenz_cla,PC,0%,61% G,15% H,H,,G,,G,,,,,,
Mercedes-Benz USA,Smart,smart electric coupe,2022_smart_smart,PC,,,,,,,,,,,,,,
Mercedes-Benz USA,Smart,smart electric cabrio,2022_smart_smart,PC,,,,,,,,,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLA SUV (GLA250/GLA250-4M),2022_mercedesbenz_gla,MPV,0%,73% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLA SUV (AMG GLA35 / AMG GLA45),2022_mercedesbenz_gla,MPV,0%,73% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLC SUV  (GLC300/GLC300-4M),2022_mercedesbenz_glc,MPV,0%,78% G,,FN,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLC SUV  (GLC300-4M),2022_mercedesbenz_glc,MPV,17%,58% G,,G,,US,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLC SUV  (GLC300),2022_mercedesbenz_glc,MPV,19%,58% G,,G,,US,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLC SUV  (GLC43-4M),2022_mercedesbenz_glc,MPV,0%,75% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLC SUV  (GLC63-4M),2022_mercedesbenz_glc,MPV,0%,75% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLC Coupe (GLC300-4M),2022_mercedesbenz_glc,PC,0%,79% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLC Coupe (GLC43),2022_mercedesbenz_glc,PC,0%,79% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLC Coupe (GLC63),2022_mercedesbenz_glc,PC,0%,79% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLC SUV (GLC300/GLC300-4M),2022_mercedesbenz_glc,PC,0%,75% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLC SUV  (GLC43-4M),2022_mercedesbenz_glc,PC,0%,78% G,,FN,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLC Coupe (GLC63-4M/GLC63S-4M),2022_mercedesbenz_glc,PC,0%,79% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE350-4M/GLE350),2022_mercedesbenz_gle,MPV,69%,12% G,,US,,US,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE450-4M),2022_mercedesbenz_gle,MPV,46%,36% G,,US,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE580-4M),2022_mercedesbenz_gle,MPV,46%,36% G,,US,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE63-4M),2022_mercedesbenz_gle,PC,46%,36% G,,US,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLE SUV (GLE53-4M),2022_mercedesbenz_gle,PC,46%,36% G,,US,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLE Coupe (GLE53-4M),2022_mercedesbenz_gle,PC,48%,34% G,,US,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLE Coupe (GLE63S),2022_mercedesbenz_gle,PC,48%,34% G,,US,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,G-Class SUV (G550/G63),2022_mercedesbenz_g,MPV,2%,27% G,26% AU,AU,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS450-4M),2022_mercedesbenz_gls,MPV,49%,35% G,,US,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS580-4M),2022_mercedesbenz_gls,MPV,49%,35% G,,US,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS63),2022_mercedesbenz_gls,MPV,49%,35% G,,US,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLS SUV (GLS600 Maybach),2022_mercedesbenz_gls,MPV,48%,39% G,,US,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,AMG GT Coupe (AMG GT/AMG GT S/AMG GT R/ AMG GT C),2022_mercedesbenz_amggt,PC,0%,84% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,AMG GT Roadster (AMG GT/ AMG GT R/ AMG GT C),2022_mercedesbenz_amggt,PC,0%,80% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,AMG GT 4-dr Coupe (AMG GT43 / AMG GT53),2022_mercedesbenz_amggt,PC,0%,85% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,AMG GT 4-dr Coupe (AMG GT63/ AMG GT63S),2022_mercedesbenz_amggt,PC,0%,85% G,,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,A-Class Sedan (A220/ A220-4M),2022_mercedesbenz_a,PC,4%,46% G,37% MX,MX,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,A-Class Sedan (A35),2022_mercedesbenz_a,PC,0%,71% G, ,G,,G,,G,,,,,,
Mercedes-Benz USA,Mercedes-Benz,GLB SUV (GLB250/ GLB250-4M),2022_mercedesbenz_glb,MPV,5%,44% G,40% MX,MX,,G,,G,,,,,,
Mercedes-Benz USA,Sprinter,Metris Cargo,2022_mercedesbenz_sprinter,MPV,21%,47% ESP,20% G,US,,US,,G,,,,,,
Mercedes-Benz USA,Sprinter,Metris Passenger,2022_mercedesbenz_sprinter,MPV,18%,50% ESP,19% G,ESP,,US,,G,,,,,,
,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross ES 2WD,2022_mitsubishi_eclipsecross,MPV,0%,96% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross ES 4WD,2022_mitsubishi_eclipsecross,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross LE 2WD,2022_mitsubishi_eclipsecross,MPV,0%,92% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross LE 4WD,2022_mitsubishi_eclipsecross,MPV,0%,94% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross SE 2WD,2022_mitsubishi_eclipsecross,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross SE 4WD,2022_mitsubishi_eclipsecross,MPV,0%,98% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross SEL 2WD,2022_mitsubishi_eclipsecross,MPV,1%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Eclipse Cross SEL 4WD,2022_mitsubishi_eclipsecross,MPV,1%,98% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Mirage LE,2022_mitsubishi_mirage,PC,0%,90% TH,,TH,,TH,,TH,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Mirage ES M/T,2022_mitsubishi_mirage,PC,0%,89% TH,,TH,,TH,,TH,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Mirage CVT ES,2022_mitsubishi_mirage,PC,0%,89% TH,,TH,,TH,,TH,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Mirage SE,2022_mitsubishi_mirage,PC,0%,89% TH,,TH,,TH,,TH,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Mirage BE,2022_mitsubishi_mirage,PC,0%,89% TH,,TH,,TH,,TH,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Mirage GT,2022_mitsubishi_mirage,PC,,,,,,,,,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Mirage G4  CVT  ES,2022_mitsubishi_mirage,PC,0%,89% TH,,TH,,TH,,TH,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Mirage G4  MT  ES,2022_mitsubishi_mirage,PC,0%,89% TH,,TH,,TH,,TH,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Mirage G4  LE,2022_mitsubishi_mirage,PC,0%,90% TH,,TH,,TH,,TH,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Mirage G4  SE,2022_mitsubishi_mirage,PC,0%,89% TH,,TH,,TH,,TH,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Mirage G4  BE,2022_mitsubishi_mirage,PC,0%,89% TH,,TH,,TH,,TH,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander ES 2WD,2022_mitsubishi_outlander,MPV,3%,90% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander SE 2WD,2022_mitsubishi_outlander,MPV,3%,89% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander SEL 2WD,2022_mitsubishi_outlander,MPV,3%,90% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander ES 4WD,2022_mitsubishi_outlander,MPV,3%,89% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander SE 4WD,2022_mitsubishi_outlander,MPV,3%,88% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander SEL 4WD,2022_mitsubishi_outlander,MPV,3%,89% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander PHEV Fleet,2022_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander PHEV SEL,2022_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander PHEV LE,2022_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander PHEV GT,2022_mitsubishi_outlander,MPV,0%,96% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport ES 2WD,2022_mitsubishi_outlandersport,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport LE 2WD,2022_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport 2.0 SE 2WD,2022_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport 2.0 SE AWC,2022_mitsubishi_outlander,MPV,0%,96% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport SE Special Edition 2WD,2022_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport SE Special Edition AWC,2022_mitsubishi_outlander,MPV,0%,96% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport S 2WD,2022_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport ES 4WD,2022_mitsubishi_outlandersport,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport LE 4WD,2022_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport 2.0 B&W 2WD,2022_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport 2.0 B&W AWC,2022_mitsubishi_outlander,MPV,0%,97% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport 2.4 GT AWC,2022_mitsubishi_outlander,MPV,0%,96% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander Sport 2.4 GT Special Edition AWC,2022_mitsubishi_outlander,MPV,0%,96% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander BE 2WD,2022_mitsubishi_outlander,MPV,0%,96% J,,J,,J,,J,,,,,,
Mitsubishi Motors Corporation,Mitsubishi,Outlander BE 4WD,2022_mitsubishi_outlander,MPV,0%,96% J,,J,,J,,J,,,,,,
"Nissan North America, Inc",Infiniti,Q70 Conv & HEV,2022_infiniti_q70,PC,,,,,,,,,,,,,,
"Nissan North America, Inc",Infiniti,QX30,2022_infiniti_qx30,PC,,,,,,,,,,,,,,
"Nissan North America, Inc",Infiniti,QX50,2022_infiniti_qx50,MPV,10%,55% MX,25% J,MX,,J,,MX,,,,,,
"Nissan North America, Inc",Infiniti,QX55,2022_infiniti_qx55,MPV,10%,60% MX,20% J,MX,,J,,MX,,,,,,
"Nissan North America, Inc",Infiniti,QX 60,2022_infiniti_qx,MPV,45%,,,US,,US,,US,,,,,,
"Nissan North America, Inc",Infiniti,Q50,2022_infiniti_q50,PC,0%,95% J,,J,,J,,J,,,,,,
"Nissan North America, Inc",Infiniti,Q60,2022_infiniti_q60,PC,0%,95% J,,J,,J,,J,,,,,,
"Nissan North America, Inc",Infiniti,QX60 HEV 4CYL ,2022_infiniti_qx60,MPV,,,,,,,,,,,,,,
"Nissan North America, Inc",Infiniti,QX60 HEV  6CYL,2022_infiniti_qx60,MPV,,,,,,,,,,,,,,
"Nissan North America, Inc",Infiniti,QX70   & Q70 L,2022_infiniti_qx70,PC,,,,,,,,,,,,,,
"Nissan North America, Inc",Infiniti,QX80,2022_infiniti_qx80,MPV,5%,95% J,,J,,J,,J,,,,,,
"Nissan North America, Inc",Nissan,370Z Coupe,2022_nissan_370z,PC,0%,95% J,,J,,J,,J,,,,,,
"Nissan North America, Inc",Nissan,370Z Roadster,2022_nissan_370z,PC,5%,60% J,35% G,J,,J,,J,,,,,,
"Nissan North America, Inc",Nissan,Altima 4CYL,2022_nissan_altima,PC,50%,15% MX,,US,,US,,MX,,,,,,
"Nissan North America, Inc",Nissan,Altima 4CYL Turbo,2022_nissan_altima,PC,50%,15% MX,,US,,J,,MX,,,,,,
"Nissan North America, Inc",Nissan,Armada,2022_nissan_armada,MPV,5%,95% J,,J,,J,,J,,,,,,
"Nissan North America, Inc",Nissan,Armada,2022_nissan_armada,MPV,5%,95% J,,J,,J,,J,,,,,,
"Nissan North America, Inc",Nissan,Frontier,2022_nissan_frontier,Truck,40%,25% J,,US,,US,,J,,,,,,
"Nissan North America, Inc",Nissan,GT-R,2022_nissan_gtr,PC,0%,100% J,,J,,J,,J,,,,,,
"Nissan North America, Inc",Nissan,Kicks,2022_nissan_kicks,PC,15%,65% MX,,MX,,MX,,MX,,,,,,
"Nissan North America, Inc",Nissan,Leaf,2022_nissan_leaf,PC,30%,45% J,,US,,J,,J,,,,,,
"Nissan North America, Inc",Nissan,Maxima,2022_nissan_maxima,PC,50%,15% MX,,US,,US,,MX,,,,,,
"Nissan North America, Inc",Nissan,Murano ,2022_nissan_murano,MPV,55%,,,US,,US,,MX,,,,,,
"Nissan North America, Inc",Nissan,Murano HEV - 4CY & 6CYL,2022_nissan_murano,MPV,,,,,,,,,,,,,,
"Nissan North America, Inc",Nissan,NV200  Cargo,2022_nissan_nv200,Truck,20%,60% MX,15% J,MX,,MX,,MX,,,,,,
"Nissan North America, Inc",Nissan,NV200  Taxi NYT,2022_nissan_nv200,MPV,,,,,,,,,,,,,,
"Nissan North America, Inc",Nissan,Pathfinder  ,2022_nissan_pathfinder,MPV,50%,,,US,,US,,MX,,,,,,
"Nissan North America, Inc",Nissan,Pathfinder HEV - 4CYL & 6CYL,2022_nissan_pathfinder,MPV,,,,,,,,,,,,,,
"Nissan North America, Inc",Nissan,Quest,2022_nissan_quest,MPV,,,,,,,,,,,,,,
"Nissan North America, Inc",Nissan,Rogue Sport,2022_nissan_roguesport,MPV,0%,95% J,,J,,J,,MX,,,,,,
"Nissan North America, Inc",Nissan,Rogue,2022_nissan_rogue,MPV,30%,40% J, ,US,,J,,MX,,,,,,
"Nissan North America, Inc",Nissan,Rogue,2022_nissan_rogue,MPV,30%,40% J, ,J,,J,,J,,,,,,
"Nissan North America, Inc",Nissan,Rogue,2022_nissan_rogue,MPV,30%,40% J,,US,,J,,J,,,,,,
"Nissan North America, Inc",Nissan,Sentra,2022_nissan_sentra,PC,15%,60% MX, ,MX,,J,,MX,,,,,,
"Nissan North America, Inc",Nissan,Sentra,2022_nissan_sentra,PC,,,,,,,,,,,,,,
"Nissan North America, Inc",Nissan,Sentra Turbo,2022_nissan_sentra,PC,,,,,,,,,,,,,,
"Nissan North America, Inc",Nissan,Sentra Turbo,2022_nissan_sentra,PC,,,,,,,,,,,,,,
"Nissan North America, Inc",Nissan,Titan,2022_nissan_titan,Truck,50%,20% J,,US,,US,,J,,,,,,
"Nissan North America, Inc",Nissan,Versa Note,2022_nissan_versa,PC,,,,,,,,,,,,,,
"Nissan North America, Inc",Nissan,Versa Sedan,2022_nissan_versa,PC,20%,65% MX,,MX,,MX,,MX,,,,,,
"Nissan North America, Inc",Nissan,Versa Sedan,2022_nissan_versa,PC,20%,65% MX,,MX,,MX,,ESP,,,,,,
"Nissan North America, Inc",Nissan,Versa Sedan,2022_nissan_versa,PC,,,,,,,,,,,,,,
Polestar,Polestar,PS1 Aut (8vxl) FWD + ERAD,2022_polestar_1,PC,1%,40% CH,20% SE,CH,,SE,,JP,,,,,,
Polestar,Polestar,PS2 (Polestar 2) Single Motor,2022_polestar_2,PC,1%,95% CH,5% TH,CH,,CH,,CH,,,,,,
Polestar,Polestar,PS2 (Polestar 2) Dual Motor,2022_polestar_2,PC,1%,95% CH,5% TH,CH,,CH,,CH,,,,,,
Porsche AG,Porsche,Macan,2022_porsche_macan,MPV,0%,57% Germany,,"Leipzig,
Germany",,H,,G ,,,,,,
Porsche AG,Porsche,Macan S,2022_porsche_macan,MPV,0%,65% Germany,15% Hungary,"Leipzig,
Germanv",,H,,G ,,,,,,
Porsche AG,Porsche,Macan GTS,2022_porsche_macan,MPV,0%,66% Germany, ,"Leipzig,
Germanv",,H,,G ,,,,,,
Porsche AG,Porsche,Macan Turbo,2022_porsche_macan,MPV,0%,68% Germany, ,"Leipzig,
Germanv",,H,,G ,,,,,,
Porsche AG,Porsche,Cayenne Coupe,2022_porsche_cayenne,MPV,0%,31% Germany,29% Slovakia,"Bratislava,
Slovakia",,H,,G ,,,,,,
Porsche AG,Porsche,Cayenne S Coupe,2022_porsche_cayenne,MPV,0%,35% Germany,25% Slovakia,"Bratislava,
Slovakia",,H,,G ,,,,,,
Porsche AG,Porsche,Cayenne S,2022_porsche_cayenne,MPV,0%,35% Germany,27% Slovakia,"Bratislava,
Slovakia",,H,,G ,,,,,,
Porsche AG,Porsche,Cayenne,2022_porsche_cayenne,MPV,0%,34% Germany,25% Slovakia,"Bratislava,
Slovakia",,H,,G ,,,,,,
Porsche AG,Porsche,Cayenne GTS Coupe,2022_porsche_cayenne,MPV,0%,53% Germany,21% Slovakia,"Bratislava,
Slovakia",,H,,G ,,,,,,
Porsche AG,Porsche,Cayenne GTS,2022_porsche_cayenne,MPV,0%,54% Germany,22% Slovakia,"Bratislava,
Slovakia",,H,,G ,,,,,,
Porsche AG,Porsche,Cayenne Turbo,2022_porsche_cayenne,MPV,1%,51% Germany,25% Slovakia,"Bratislava,
Slovakia",,G,,G ,,,,,,
Porsche AG,Porsche,Cayenne Coupe Turbo,2022_porsche_cayenne,MPV,1%,50% Germany,22% Slovakia,"Bratislava,
Slovakia",,G,,G ,,,,,,
Porsche AG,Porsche,Cayenne E-Hybrid,2022_porsche_cayennehybrid,MPV,0%,37% Germany,24% Slovakia,"Bratislava,
Slovakia",,H,,G ,,,,,,
Porsche AG,Porsche,718 Cayman,2022_porsche_cayman,PC,0%,73% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Cayman,2022_porsche_cayman,PC,0%,73% Germany,,"Osnabrueck, Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Cayman S,2022_porsche_cayman,PC,0%,73% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Cayman S,2022_porsche_cayman,PC,0%,73% Germany,,"Osnabrueck, Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Cayman T,2022_porsche_cayman,PC,0%,74% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Cayman T,2022_porsche_cayman,PC,0%,74% Germany,,"Osnabrueck, Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Boxster,2022_porsche_boxster,PC,0%,75% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Boxster,2022_porsche_boxster,PC,0%,75% Germany,,"Osnabrueck, Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Boxster S,2022_porsche_boxster,PC,0%,74% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Boxster S,2022_porsche_boxster,PC,0%,74% Germany,,"Osnabrueck, Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Boxster T,2022_porsche_boxster,PC,0%,77% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Boxster T,2022_porsche_boxster,PC,0%,77% Germany,,"Osnabrueck, Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Spyder,2022_porsche_spyder,PC,0%,78% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Spyder,2022_porsche_spyder,PC,0%,78% Germany,,"Osnabrueck, Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Cayman GT4,2022_porsche_cayman,PC,0%,74% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Cayman GT4,2022_porsche_cayman,PC,0%,74% Germany,,"Osnabrueck, Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Cayman GTS 4.0 (Man),2022_porsche_cayman,PC,0%,72% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Cayman GTS 4.0 (Man),2022_porsche_cayman,PC,0%,72% Germany,,"Osnabrueck, Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Boxster GTS 4.0 (Man),2022_porsche_boxster,PC,0%,74% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Boxster GTS 4.0 (Man),2022_porsche_boxster,PC,0%,74% Germany,,"Osnabrueck, Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Cayman GTS 4.0 (auto),2022_porsche_cayman,PC,0%,73% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Cayman GTS 4.0 (auto),2022_porsche_cayman,PC,0%,73% Germany,,"Osnabrueck, Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Boxster GTS 4.0 (auto),2022_porsche_boxster,PC,0%,75% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,718 Boxster GTS 4.0 (auto),2022_porsche_boxster,PC,0%,75% Germany,,"Osnabrueck, Germany",,G,,G ,,,,,,
Porsche AG,Porsche,911 Carrera,2022_porsche_911,PC,0%,76% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,911 Carrera Cabriolet,2022_porsche_911,PC,0%,76% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,911 Carrera 4,2022_porsche_911,PC,0%,76% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,911 Carrera 4 Cabriolet,2022_porsche_911,PC,0%,77% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,911 Carrera S,2022_porsche_911,PC,0%,73%Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,911 Carrera S Cabriolet,2022_porsche_911,PC,0%,74% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,911 Carrera 4S,2022_porsche_911,PC,0%,74% Germany,,"Stuttgart,
Germany",,G,,G ,,,,,,
Porsche AG,Porsche,911 Carrera 4S Cabriolet,2022_porsche_911,PC,0%,75% Germany,,"Stuttgart,
Germanv",,G,,G ,,,,,,
Porsche AG,Porsche,911 Targa 4,2022_porsche_911,PC,0%,73% Germany,,"Stuttgart,
Germanv",,G,,G ,,,,,,
Porsche AG,Porsche,911 Targa 4S,2022_porsche_911,PC,0%,73% Germany,,"Stuttgart,
Germanv",,G,,G ,,,,,,
Porsche AG,Porsche,911 Turbo,2022_porsche_911,PC,0%,72% Germany,,"Stuttgart,
Germanv",,G,,G ,,,,,,
Porsche AG,Porsche,911 Turbo S  ,2022_porsche_911,PC,0%,75% Germany,,"Stuttgart,
Germanv",,G,,G ,,,,,,
Porsche AG,Porsche,911 Turbo Cabriolet,2022_porsche_911,PC,0%,73% Germany,,"Stuttgart,
Germanv",,G,,G ,,,,,,
Porsche AG,Porsche,911 Turbo S Cabriolet,2022_porsche_911,PC,0%,74% Germany,,"Stuttgart,
Germanv",,G,,G ,,,,,,
Porsche AG,Porsche,Taycan 4S,2022_porsche_taycan,PC,0%,51% Germany,23% Poland,"Stuttgart,
Germanv",,G,,G ,,,,,,
Porsche AG,Porsche,Taycan 4S w Perf Pack,2022_porsche_taycan,PC,0%,50% Germany,26% Poland,"Stuttgart,
Germanv",,G,,G ,,,,,,
Porsche AG,Porsche,Taycan Turbo,2022_porsche_taycan,PC,0%,54% Germany,23% Poland,"Stuttgart,
Germanv",,G,,G ,,,,,,
