Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,,,,
BMW AG,Toyota,Supra,2022_toyota_supra,PC,0%,27% G,25% A,A,,A,,G,,,,,,
Rolls-Royce Motor,Rolls-Royce,Phantom,2022_rollsroyce_phantom,PC,1%,62% G, ,UK,,G,,G,,,,,,
Rolls-Royce Motor,Rolls-Royce,Ghost,2022_rollsroyce_ghost,PC,1%,62% G, ,UK,,G,,G,,,,,,
Rolls-Royce Motor,Rolls-Royce,Wraith,2022_rollsroyce_wraith,PC,1%,62% G, ,UK,,G,,G,,,,,,
Rolls-Royce Motor,Rolls-Royce,Dawn,2022_rollsroyce_dawn,PC,1%,62% G, ,UK,,G,,G,,,,,,
Rolls-Royce Motor,Rolls-Royce,Cullinan,2022_rollsroyce_cullinan,MPV,1%,53% G, ,UK,,G,,G,,,,,,
Bugatti Automobiles S.A.S.,Bugatti,Chiron,2022_bugatti_chiron,PC,N/A,N/A,,F,,G,,UK,,,,,,
Bugatti Automobiles S.A.S.,Bugatti,Chiron Pur Sport,2022_bugatti_chiron,PC,N/A,N/A,,F,,G,,UK,,,,,,
Bugatti Automobiles S.A.S.,Bugatti,Chiron Super Sport,2022_bugatti_chiron,PC,N/A,N/A,,F,,G,,UK,,,,,,
FCA,Alfa Romeo,4C,2022_alfaromeo_4c,PC,0%,95% I,,Modena Italy,,I,,I,,,,,,
FCA,Alfa Romeo,Giulia,2022_alfaromeo_giulia,PC,0%,69% I,,Cassino Italy,,I,,G,,,,,,
FCA,Alfa Romeo,Stelvio,2022_alfaromeo_stelvio,MPV,0%,55% I,13% F,Cassino Italy,,I,,G,,,,,,
FCA,Chrysler,300,2022_chrysler_300,PC,68%,19% M,,Brampton ON Canada,US (3.6L),"M (3.6L, 5.7L)",,US,,,,,,
FCA,Chrysler,Pacifica,2022_chrysler_pacifica,MPV,69%,21% M,,Windsor ON Canada,,M  ,,US,,,,,,
FCA,Chrysler,Voyager,2022_chrysler_voyager,MPV,68%,23% M,,Windsor ON Canada,,M,,US,,,,,,
FCA,Dodge,Challenger,2022_dodge_challenger,PC,67%,21% M,,Brampton ON Canada,US (3.6L),"M (3.6L, 5.7L)",US,M (Manual)             G(8 SPD HP90),,,,,,
FCA,Dodge,Charger,2022_dodge_charger,PC,71%,18% M,,Brampton ON Canada,US (3.6L),"M (3.6L, 5.7L)",US,G(8 SPD HP90),,,,,,
FCA,Dodge,Durango,2022_dodge_durango,MPV,71%,19% M,,Detroit Ml USA,US (3.6L),"M (3.6L, 5.7L)",US,G (8 SPD 8HP70),,,,,,
FCA,Dodge,GrandCaravan,2022_dodge_grandcaravan,MPV,74%,14% M,,Windsor ON Canada,,US,,US,,,,,,
FCA,Dodge,Journey,2022_dodge_journey,MPV,25%,69% M,,Toluca Mexico,,US,,US,,,,,,
FCA,Fiat,500L,2022_fiat_500l,MPV,0%,21% Serbia,19% I,Kragujevac Serbia,,I,,J,,,,,,
FCA,Fiat,500X,2022_fiat_500x,MPV,0%,62% I,20% PL,Melfi Italy,,PL,,US,,,,,,
FCA,Jeep,Cherokee,2022_jeep_cherokee,MPV,72%,19% M,,Belvidere IL USA,I (2.0L),US,,US,,,,,,
