Manufacturers,Makes,Carlines,year_make_model,check,,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,allowed_names,
BMW AG,BMW,M2 Coupe,2024_bmw_m2,TRUE,OK,PC,5%,29% G,16% M,M,,A,,G,,,2024_cadillac_ct4,TRUE
BMW AG,BMW,M3 Sedan,2024_bmw_m3,TRUE,OK,PC,0%,38% G,,G,,G,,G,,,2024_cadillac_ct4v,FALSE
BMW AG,BMW,M3 CS Sedan,2024_bmw_m3,TRUE,OK,PC,0%,48% G,,G,,G,,G,,,2024_cadillac_ct5,TRUE
BMW AG,BMW,M8,2024_bmw_m8,TRUE,OK,PC,0%,52% G,,G,,G,,G,,,2024_cadillac_ct5v,FALSE
BMW AG,BMW,X1,2024_bmw_x1,TRUE,OK,MPV,0%,34% G,16% UK,G,,G,,G,,,2024_cadillac_escalade,TRUE
BMW AG,BMW,X2,2024_bmw_x2,TRUE,OK,MPV,0%,35% G,16% OT,G,,G,,G,,,2024_cadillac_escaladev,FALSE
BMW AG,BMW,X3,2024_bmw_x3,TRUE,OK,MPV,23%,18% AF,16% G,AF,,A,,G,,,2024_cadillac_lyriqev,FALSE
BMW AG,BMW,X3,2024_bmw_x3,TRUE,OK,MPV,27%,,,US,,"A (4.0, M)",UK (3.0),G,,,2024_cadillac_xt4,TRUE
BMW AG,BMW,X4,2024_bmw_x4,TRUE,OK,MPV,32%,,,US,,"A (4.0, M)",UK (3.0),G,,,2024_cadillac_xt5,TRUE
BMW AG,BMW,X5,2024_bmw_x5,TRUE,OK,MPV,28%,19% G,,US,,G (M),"A (4.0, 5.0e)",G,,,2024_cadillac_xt6,TRUE
BMW AG,BMW,X6,2024_bmw_x6,TRUE,OK,MPV,30%,21% G,,US,,G (M),A (4.0),G,,,2024_chevrolet_blazer,TRUE
BMW AG,BMW,X7,2024_bmw_x7,TRUE,OK,MPV,25%,23% G,,US,,G (M),A (4.0),G,,,2024_chevrolet_blazerev,TRUE
BMW AG,BMW,XM,2024_bmw_xmhybrid,TRUE,OK,MPV,21%,26% G,,US,,G,,G,,,2024_chevrolet_camaro,TRUE
BMW AG,BMW,Z4,2024_bmw_z4,TRUE,OK,PC,0%,30% G,23% A,A,,A,,G,,,2024_chevrolet_colorado,TRUE
BMW AG,Toyota,Supra,2024_toyota_supra,TRUE,OK,PC,0%,30% G,26% A,A,,A,,G,,,2024_chevrolet_corvette,TRUE
Bugatti Automobiles S.A.S.,Bugatti,Chiron Super Sport,2024_bugatti_chiron,FALSE,OK,PC,N/A,N/A,,F,,G,,UK,,,2024_chevrolet_corvettehybrid,FALSE
Fiat Chrysler,Alfa Romeo,Giulia,2024_alfaromeo_giulia,TRUE,OK,PC,0%,69% I,,Cassino Italy,,I,,G,,,2024_chevrolet_equinox,TRUE
Fiat Chrysler,Alfa Romeo,Stelvio,2024_alfaromeo_stelvio,TRUE,OK,MPV,0%,55% I,13% F,Cassino Italy,,I,,G,,,2024_chevrolet_express,TRUE
Fiat Chrysler,Alfa Romeo,Tonale,2024_alfaromeo_tonalehybrid,TRUE,OK,MPV,0%,56% I,12% CH,Cassino Italy,,I,,G,,,2024_chevrolet_malibu,TRUE
Fiat Chrysler,Chrysler,Pacifica,2024_chrysler_pacifica,TRUE,OK,MPV,66%,22% M,,Windsor ON Canada,,M,US,US,,,2024_chevrolet_silverado,TRUE
Fiat Chrysler,Dodge,Charger BEV,2024_dodge_chargerev,TRUE,OK,PC,51%,28% M,17% H,"Brampton ON
Canada",,US,,US,,,2024_chevrolet_silveradoev,TRUE
Fiat Chrysler,Dodge,Durango,2024_dodge_durango,TRUE,OK,MPV,69%,22% M,,Detroit Ml USA,,US,M,US,G,,2024_chevrolet_suburban,FALSE
Fiat Chrysler,Dodge,Hornet,2024_dodge_hornet,TRUE,OK,MPV,0%,56% I,12% P,Pomigliano Italy,,US,"I, P",US,I,,2024_chevrolet_tahoe,TRUE
Fiat Chrysler,Fiat,500E,2024_fiat_500ev,FALSE,OK,MPV,0%,40% H,35% I,Torino Italy,,I,,I,,,2024_chevrolet_trailblazer,TRUE
Fiat Chrysler,Jeep,Compass,2024_jeep_compass,TRUE,OK,MPV,21%,69% M,,Toluca Mexico,,US,I,US,,,2024_chevrolet_traverse,TRUE
Fiat Chrysler,Jeep,Gladiator,2024_jeep_gladiator,TRUE,OK,Truck,68%,21% M,,Toledo OH USA,,US,M,US,J,,2024_chevrolet_traverselimited,FALSE
Fiat Chrysler,Jeep,Grand Cherokee,2024_jeep_grandcherokee,TRUE,OK,MPV,59%,23% M,,Detroit Ml USA,,US,"I, M",US,G,,2024_chevrolet_trax,TRUE
Fiat Chrysler,Jeep,Grand Cherokee L,2024_jeep_grandcherokee,TRUE,OK,MPV,59%,23% M,,Detroit Ml USA,,US,"I, M",US,G,,2024_chrysler_pacifica,TRUE
Fiat Chrysler,Jeep,Grand Wagoneer,2024_jeep_grandwagoneer,TRUE,OK,MPV,59%,35% M,,Warren MI USA,,M,,US,,,2024_chrysler_pacificahybrid,FALSE
Fiat Chrysler,Jeep,Wagoneer,2024_jeep_wagoneer,TRUE,OK,MPV,59%,35% M,,Warren MI USA,,M,,US,,,2024_chrysler_voyager,FALSE
Fiat Chrysler,Jeep,Wagoneer S,2024_jeep_wagoneersev,TRUE,OK,MPV,24%,48% M,23% H,Toluca Mexico,,US,,US,,,2024_dodge_chargerev,TRUE
