Manufacturers,Makes,Carlines,year_make_model,vehicle_type,pcUSCA_content,pcOth1_content,pcOth2_content,assembly1,assembly2,engine1,engine2,transmission1,transmission2,,
Fiat Chrysler,RAM,Ram 1500 Pickup,2020_ram_1500,Truck,53%,26% M ,,Sterling Heights MI USA,US (3.6L),M (5.7L)             I (3.0L Diesel),US,G (8HP75),,,
Fiat Chrysler,RAM,Ram 1500 CLASSIC,2020_ram_1500classic,Truck,55%,29% M,,Warren MI USA    Saltillo Mexico (Reg. Cab),US (3.6L),M (5.7L),US,G (8HP70),,,
Fiat Chrysler,RAM,Promaster City,2020_ram_promaster,MPV,34%,44% T,18% I,Bursa Turkey,,US,,US,,,
Ford Motor Company,Ford,EcoSport,2020_ford_ecosport,MPV,15%,60% IN,,IN, ,G (1.0L),US (2.0L),MX,US,,
Ford Motor Company,Ford,Edge,2020_ford_edge,MPV,40%,16% MX,,US,,ESP (2.0L),MX (2.7L),US,,,
Ford Motor Company,Ford,Escape,2020_ford_escape,MPV,42%,30% MX,,US,,MX (1.5L),ESP (2.0L),MX,US,,
Ford Motor Company,Ford,Escape,2020_ford_escape,MPV,42%,30% MX,,US,,MX (2.5L),,US,,,
Ford Motor Company,Ford,Expedition,2020_ford_expedition,MPV,51%,20% MX,,US,,US  ,,US,,,
Ford Motor Company,Ford,Explorer,2020_ford_explorer,MPV,55%,17% MX,,US,,"US (3.0, 3.3)",MX (2.3),US,,,
Ford Motor Company,Ford,F150,2020_ford_f150,Truck,50%,,,US,US,MX (3.5L),MX (2.7L),US,,,
Ford Motor Company,Ford,F150,2020_ford_f150,Truck,50%,,,US,US,US (3.3L),US (5.0L),US,,,
Ford Motor Company,Ford,F150,2020_ford_f150,Truck,50%,,,US,US,UK (3.0L),,US,,,
Ford Motor Company,Ford,Ranger,2020_ford_ranger,MPV,70%,,,US,,US,,US,,,
Ford Motor Company,Ford,Fusion,2020_ford_fusion,PC,26%,55% MX,,MX,,UK (1.5L),ESP (2.3L),US,,,
Ford Motor Company,Ford,Fusion,2020_ford_fusion,PC,26%,55% MX,,MX,,"MX (2.5L, 2.0L e)",US (2.7L),US,,,
Ford Motor Company,Ford,Ford GT,2020_ford_gt,PC,12%,,,CN,,US,,GER,,,
Ford Motor Company,Ford,Mustang,2020_ford_mustang,PC,51%,20% MX,,US,,US (2.3),US (5.0),CH (MAN),US (AUTO),,
Ford Motor Company,Ford,Mustang,2020_ford_mustang,PC,51%,20% MX,,US,,ESP (2.3),,CH (MAN),US (AUTO),,
Ford Motor Company,Ford,Mustang,2020_ford_mustang,PC,51%,20% MX,,US,,G (5.0),,CH,,,
Ford Motor Company,Ford,Mustang,2020_ford_mustang,PC,51%,20% MX,,US,,US (5.2),,MX,,,
